state,county,netprice
Alabama,Shelby County,10500.0
Arkansas,Chicot County,31147.05882351771
Colorado,Costilla County,1431.5352697095386
Colorado,Weld County,50636.942675216815
Florida,Hardee County,6734.693877551021
Kansas,Pottawatomie County,3022.008558886734
Kentucky,Ballard County,2815.065185904202
Minnesota,Clay County,0.16666666666666666
Missouri,Mercer County,3195.0
Missouri,Saint Charles County,9512.195121953404
New York,Otsego County,2413.970588235294
North Carolina,Beaufort County,3532.2580645161293
North Dakota,Wells County,0.002053388090349076
Oklahoma,Seminole County,2500.0
Oregon,Harney County,24999.99999997792
Oregon,Josephine County,28842.603277149035
Oregon,Klamath County,34569.56521739136
Tennessee,Dickson County,7273.785277858467
Texas,Atascosa County,5720.5616629150545
Texas,Bee County,6886.666666666667
Texas,Bexar County,10500.0
Texas,Edwards County,3688.247257583534
Texas,Gillespie County,18516.83348499825
Texas,Houston County,8901.878114211766
Texas,Stonewall County,12130.434782608696
Texas,Washington County,64220.18348628495
Texas,Wilbarger County,2500.000000000002
Virginia,Franklin County,9836.065573770491
Washington,Stevens County,7500.0
Wisconsin,Jackson County,8125.0
